iter	MultiClass
0	2.132425474
1	2.075713147
2	2.023879894
3	1.981699019
4	1.944952125
5	1.909827407
6	1.873417655
7	1.837537896
8	1.805621552
9	1.772007628
10	1.743103266
11	1.713492229
12	1.685709612
13	1.65720256
14	1.631990323
15	1.608142244
16	1.585908895
17	1.564634973
18	1.545165666
19	1.525320222
20	1.508076103
21	1.488378352
22	1.47150068
23	1.455460187
24	1.440281497
25	1.422752348
26	1.40819711
27	1.394351565
28	1.380664048
29	1.365085005
30	1.352110299
31	1.337608355
32	1.324071883
33	1.312421864
34	1.299065493
35	1.284195677
36	1.271401933
37	1.258667449
38	1.246264966
39	1.235210769
40	1.22438146
41	1.212966506
42	1.20333853
43	1.193584464
44	1.183148931
45	1.17390954
46	1.164316899
47	1.155053968
48	1.146408064
49	1.137937391
50	1.128853255
51	1.120215441
52	1.111045269
53	1.10271903
54	1.094598179
55	1.086682263
56	1.078561006
57	1.070640323
58	1.063656767
59	1.057169044
60	1.051633565
61	1.046084546
62	1.040014114
63	1.033781596
64	1.026752883
65	1.020994161
66	1.015801301
67	1.008687903
68	1.003821798
69	0.998281671
70	0.9929543737
71	0.9882911601
72	0.9834803078
73	0.9780898577
74	0.9724467021
75	0.9677863655
76	0.9632381565
77	0.9573800908
78	0.9520352521
79	0.9479692003
80	0.9435021698
81	0.9398249389
82	0.9351929939
83	0.9311428288
84	0.9276924641
85	0.922505393
86	0.918944853
87	0.915476913
88	0.9110545695
89	0.9070172727
90	0.903800301
91	0.899678525
92	0.8961529926
93	0.8923003891
94	0.8884454028
95	0.8842045634
96	0.8808770061
97	0.8780056087
98	0.8745900455
99	0.8710367928
100	0.8678938974
101	0.8641585269
102	0.8610924642
103	0.8582281679
104	0.8558420314
105	0.853509726
106	0.8501721389
107	0.8472404176
108	0.8438925363
109	0.8411742375
110	0.8382432406
111	0.8362539363
112	0.8341372873
113	0.8315797305
114	0.82824399
115	0.8251212931
116	0.8222622551
117	0.8198594596
118	0.8169599109
119	0.8147861569
120	0.8127076362
121	0.810089473
122	0.80838091
123	0.8060157513
124	0.8044628818
125	0.8003000867
126	0.7981316681
127	0.7967140351
128	0.7949499699
129	0.7929679212
130	0.7908312753
131	0.7879202288
132	0.7857794479
133	0.7840520605
134	0.7822009951
135	0.7806472753
136	0.7781814553
137	0.7762446315
138	0.7739917072
139	0.7726710781
140	0.7713911379
141	0.7697440876
142	0.7664103639
143	0.764640069
144	0.7632076772
145	0.7611011922
146	0.7591800535
147	0.7570165436
148	0.7553292695
149	0.7536815268
150	0.752026854
151	0.7503250304
152	0.7485460456
153	0.7470272812
154	0.7453448761
155	0.7444702514
156	0.7424106079
157	0.7413711411
158	0.7398353168
159	0.738690479
160	0.7376331783
161	0.736218598
162	0.7349310034
163	0.7333504017
164	0.7321565406
165	0.7308835117
166	0.7294854799
167	0.728309692
168	0.7269920334
169	0.7259200861
170	0.7248407123
171	0.7239412672
172	0.7226835448
173	0.7216215489
174	0.7201561766
175	0.7190729238
176	0.7179413024
177	0.7167185852
178	0.7153306467
179	0.7143866327
180	0.7130154345
181	0.7116374072
182	0.7105822293
183	0.7091867622
184	0.7082759859
185	0.7062612234
186	0.7046995281
187	0.7039840461
188	0.7029255478
189	0.7019787755
190	0.7011909401
